1.82000000e+00,1.11978020e-07,1.87000000e-01
1.92000000e+00,1.33909082e-07,3.93000000e-01
2.02000000e+00,1.63921834e-07,7.39000000e-01
2.12000000e+00,1.90642158e-07,1.35700000e+00
2.22000000e+00,2.15526090e-07,2.13000000e+00
2.32000000e+00,2.30769906e-07,3.33800000e+00
2.42000000e+00,2.61374195e-07,4.34800000e+00
2.52000000e+00,2.80280748e-07,5.83400000e+00
2.62000000e+00,2.95774509e-07,6.44700000e+00
2.72000000e+00,3.16672957e-07,7.96100000e+00
2.82000000e+00,3.30769077e-07,9.75900000e+00
2.92000000e+00,3.47549677e-07,1.18180000e+01
3.02000000e+00,3.74685961e-07,1.42610000e+01
3.12000000e+00,3.85430107e-07,1.55960000e+01
3.22000000e+00,4.03935869e-07,1.83740000e+01
3.32000000e+00,4.13681747e-07,2.05960000e+01
3.42000000e+00,4.35225873e-07,2.27230000e+01
3.52000000e+00,4.47255099e-07,2.33850000e+01
3.62000000e+00,4.53244262e-07,2.37740000e+01
3.72000000e+00,4.61939871e-07,2.37390000e+01
3.82000000e+00,4.69875867e-07,2.35600000e+01
3.92000000e+00,4.72315716e-07,2.32020000e+01
4.02000000e+00,4.77523950e-07,2.34160000e+01
4.12000000e+00,4.81991608e-07,2.37480000e+01
4.22000000e+00,4.88181806e-07,2.46180000e+01
4.32000000e+00,4.89448519e-07,2.46420000e+01
4.42000000e+00,4.95091640e-07,2.35840000e+01
4.52000000e+00,4.86763908e-07,2.42040000e+01
4.62000000e+00,4.87920777e-07,2.50220000e+01
1.72000000e+00,1.36226575e-07,3.56000000e-01,2.00000000e-02
1.82000000e+00,1.74962977e-07,5.69000000e-01,2.00000000e-02
1.92000000e+00,2.21029907e-07,9.74000000e-01,2.00000000e-02
2.02000000e+00,2.38662026e-07,1.45300000e+00,2.00000000e-02
2.12000000e+00,2.60282978e-07,2.01500000e+00,2.00000000e-02
2.22000000e+00,2.91321528e-07,3.09200000e+00,2.00000000e-02
2.32000000e+00,3.21585688e-07,4.12500000e+00,2.00000000e-02
2.42000000e+00,3.57529030e-07,5.33800000e+00,2.00000000e-02
2.52000000e+00,3.73065612e-07,6.57400000e+00,2.00000000e-02
2.62000000e+00,4.00960169e-07,7.25500000e+00,2.00000000e-02
2.72000000e+00,4.21446850e-07,8.82100000e+00,2.00000000e-02
2.82000000e+00,4.45017123e-07,1.05350000e+01,2.00000000e-02
2.92000000e+00,4.68394172e-07,1.29980000e+01,2.00000000e-02
3.02000000e+00,4.88811605e-07,1.51880000e+01,2.00000000e-02
3.12000000e+00,5.10722477e-07,1.70180000e+01,2.00000000e-02
3.22000000e+00,5.27934875e-07,1.94340000e+01,2.00000000e-02
3.32000000e+00,5.49130932e-07,2.20630000e+01,2.00000000e-02
3.42000000e+00,5.66023105e-07,2.38180000e+01,2.00000000e-02
3.52000000e+00,5.91084051e-07,2.45620000e+01,2.00000000e-02
3.62000000e+00,6.01223925e-07,2.52860000e+01,2.00000000e-02
3.72000000e+00,6.06568400e-07,2.47950000e+01,2.00000000e-02
3.82000000e+00,6.11505413e-07,2.47640000e+01,2.00000000e-02
3.92000000e+00,6.19908112e-07,2.47830000e+01,2.00000000e-02
4.02000000e+00,6.22955819e-07,2.48550000e+01,2.00000000e-02
4.12000000e+00,6.34055905e-07,2.53640000e+01,2.00000000e-02
4.22000000e+00,6.35343784e-07,2.61120000e+01,2.00000000e-02
4.32000000e+00,6.36733678e-07,2.57890000e+01,2.00000000e-02
4.42000000e+00,6.35573906e-07,2.64760000e+01,2.00000000e-02
4.52000000e+00,6.27710886e-07,2.59490000e+01,2.00000000e-02
4.62000000e+00,6.27349862e-07,2.65730000e+01,2.00000000e-02
1.74000000e+00,1.30281420e-07,3.23000000e-01,4.00000000e-02
1.84000000e+00,1.84018289e-07,6.24000000e-01,4.00000000e-02
1.94000000e+00,2.06799929e-07,8.58000000e-01,4.00000000e-02
2.04000000e+00,2.31957015e-07,1.25000000e+00,4.00000000e-02
2.14000000e+00,2.62833474e-07,2.10400000e+00,4.00000000e-02
2.24000000e+00,2.94259965e-07,3.27100000e+00,4.00000000e-02
2.34000000e+00,3.24080259e-07,4.33300000e+00,4.00000000e-02
2.44000000e+00,3.45074464e-07,5.60100000e+00,4.00000000e-02
2.54000000e+00,3.79875544e-07,6.84100000e+00,4.00000000e-02
2.64000000e+00,4.06466196e-07,7.64400000e+00,4.00000000e-02
2.74000000e+00,4.27946116e-07,9.10900000e+00,4.00000000e-02
2.84000000e+00,4.50166937e-07,1.06010000e+01,4.00000000e-02
2.94000000e+00,4.62671650e-07,1.30720000e+01,4.00000000e-02
3.04000000e+00,4.91919103e-07,1.53620000e+01,4.00000000e-02
3.14000000e+00,5.13180019e-07,1.80370000e+01,4.00000000e-02
3.24000000e+00,5.33084711e-07,1.97440000e+01,4.00000000e-02
3.34000000e+00,5.56863794e-07,2.18420000e+01,4.00000000e-02
3.44000000e+00,5.74860531e-07,2.38780000e+01,4.00000000e-02
3.54000000e+00,5.86480063e-07,2.49080000e+01,4.00000000e-02
3.64000000e+00,5.94155123e-07,2.52670000e+01,4.00000000e-02
3.74000000e+00,6.07014002e-07,2.44810000e+01,4.00000000e-02
3.84000000e+00,6.05755732e-07,2.45260000e+01,4.00000000e-02
3.94000000e+00,6.18587925e-07,2.44870000e+01,4.00000000e-02
4.04000000e+00,6.18705388e-07,2.56580000e+01,4.00000000e-02
4.14000000e+00,6.26365547e-07,2.56380000e+01,4.00000000e-02
4.24000000e+00,6.26691815e-07,2.55290000e+01,4.00000000e-02
4.34000000e+00,6.26742904e-07,2.54920000e+01,4.00000000e-02
4.44000000e+00,6.30152219e-07,2.52640000e+01,4.00000000e-02
4.54000000e+00,6.35228257e-07,2.52810000e+01,4.00000000e-02
4.64000000e+00,6.22875830e-07,2.61210000e+01,4.00000000e-02
1.76000000e+00,1.38380352e-07,2.25000000e-01,6.00000000e-02
1.86000000e+00,1.72031089e-07,4.52000000e-01,6.00000000e-02
1.96000000e+00,2.07116470e-07,8.07000000e-01,6.00000000e-02
2.06000000e+00,2.30809521e-07,1.37500000e+00,6.00000000e-02
2.16000000e+00,2.69535551e-07,2.18400000e+00,6.00000000e-02
2.26000000e+00,2.89697314e-07,3.32200000e+00,6.00000000e-02
2.36000000e+00,3.27737594e-07,4.30400000e+00,6.00000000e-02
2.46000000e+00,3.50717041e-07,5.43300000e+00,6.00000000e-02
2.56000000e+00,3.81171230e-07,6.34500000e+00,6.00000000e-02
2.66000000e+00,4.02095776e-07,7.78100000e+00,6.00000000e-02
2.76000000e+00,4.29106196e-07,9.52500000e+00,6.00000000e-02
2.86000000e+00,4.49829281e-07,1.15180000e+01,6.00000000e-02
2.96000000e+00,4.65794309e-07,1.33890000e+01,6.00000000e-02
3.06000000e+00,4.87434793e-07,1.58490000e+01,6.00000000e-02
3.16000000e+00,5.13450601e-07,1.73670000e+01,6.00000000e-02
3.26000000e+00,5.34097738e-07,2.01430000e+01,6.00000000e-02
3.36000000e+00,5.58833192e-07,2.19650000e+01,6.00000000e-02
3.46000000e+00,5.73607281e-07,2.34690000e+01,6.00000000e-02
3.56000000e+00,5.85129659e-07,2.46260000e+01,6.00000000e-02
3.66000000e+00,5.99027170e-07,2.45500000e+01,6.00000000e-02
3.76000000e+00,6.02149575e-07,2.45240000e+01,6.00000000e-02
3.86000000e+00,6.11201491e-07,2.37220000e+01,6.00000000e-02
3.96000000e+00,6.16278776e-07,2.39930000e+01,6.00000000e-02
4.06000000e+00,6.26428663e-07,2.49370000e+01,6.00000000e-02
4.16000000e+00,6.34168795e-07,2.52700000e+01,6.00000000e-02
4.26000000e+00,6.34344796e-07,2.57740000e+01,6.00000000e-02
4.36000000e+00,6.30210208e-07,2.44560000e+01,6.00000000e-02
4.46000000e+00,6.30633275e-07,2.54580000e+01,6.00000000e-02
4.56000000e+00,6.22222744e-07,2.59570000e+01,6.00000000e-02
